_index,_index_f1,start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,,,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,,observations,water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,sw_inside_source,sw_inside_pic,,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,,sw_clean_up,,,,community_engagement,,,,,,community_engagement_pic,,outdated,,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated,_tags,meta/rootUuid,_drain,_drain_secondary,_team_name
_index_old,_index_new,start,end,,,_1_1_Your_safety_is_our_priority,_1_2_Team_code,_1_3_Enter_Right_hand_as_per_the_My_Maps,_1_4_Record_your_curr_lways_select_precise,,,,,,_2_1_Do_you_see_storm_onnecting_to_the_SWD,_2_2_Take_a_picture_o_r_connections_inlets,,_2_3_Can_you_see_any_ts_connecting_to_SWD,_2_4_Please_take_a_pi_d_connections_inlets,,_2_5_Any_other_observ_tion_please_specify,_2_6_Is_the_water_stagnant_or_flowing,_2_7_Signs_of_contami_n_visible_indicators,_2_8_How_would_you_de_ibe_the_water_colour,_2_9_How_would_you_describe_the_turbidity,_2_10_How_would_you_d_ribe_the_odour_smell,water_turbidity_pic,,,_3_1_Is_there_solid_waste_inside_the_SWD,_3_2_Type_of_solid_wa_Based_on_observation,_3_3_Likely_source_of_waste,_3_4_Click_an_image_o_waste_inside_the_SWD,,_3_5_Is_there_solid_w_ste_outside_the_SWD,_3_6_Type_of_waste_ou_Based_on_observation,_3_7_Likely_source_of_aste_outside_the_SWD,_3_8_Click_a_image_of_aste_outside_the_SWD,,_3_9_Are_there_signs_of_clean_up_effort,,,,_3_10_Are_there_any_s_community_engagement,,,,,,_3_11_Please_take_a_p_community_engagement,,Thank_you_for_filling_the_audit_form,_id,_uuid,_submission_time,,_notes,_status,_submitted_by,__version__,_tags,meta/rootUuid,_drain,,_team_name
217,204,2026-03-28T10:13:53.892+05:30,2026-03-28T10:15:45.256+05:30,,,yes__i_feel_safe_to_conduct_audit,A38,rhs,"13.0403533, 77.5644349",13.0403533,77.5644349,,,,no,,,No,,,No inlets at all,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1774673106211.jpg,,,Yes,Household (mostly),Household waste thrown inside,1774673125472.jpg,,No,No waste,,,,not_applicable,,,,Not Applicable,,,,,,,,OK,709252292,869fb1bc-e5d9-4b9e-8095-7c092e2e2a52,2026-03-28T04:46:33,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:869fb1bc-e5d9-4b9e-8095-7c092e2e2a52,H200,,Chetana
218,203,2026-03-28T10:03:30.798+05:30,2026-03-28T10:06:35.573+05:30,,,yes__i_feel_safe_to_conduct_audit,A38,rhs,"13.0413023, 77.5649007",13.0413023,77.5649007,,,,no,,,No,,,,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1774672524284.jpg,,,Yes,Household (mostly),Household,1774672574535.jpg,,No,No waste,,,,not_applicable,,,,Not Applicable,,,,,,,,OK,709249808,ad60e062-0180-4756-b59b-ffbec3054d39,2026-03-28T04:37:14,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:ad60e062-0180-4756-b59b-ffbec3054d39,H200,,Chetana
219,202,2026-03-28T09:52:57.667+05:30,2026-03-28T09:57:38.786+05:30,,,yes__i_feel_safe_to_conduct_audit,A38,rhs,"13.0418771, 77.5657287",13.0418771,77.5657287,,,,yes,1774671837916.jpg,,No,,,Fencing built has been dismantled,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1774671982453.jpg,,,Yes,Household (mostly),Household waste,1774672007033.jpg,,No,No waste,,,,not_applicable,,,,Not Applicable,,,,,,,,OK,709246994,eeb9d3d3-7f2b-4151-b3da-88215a8c7f97,2026-03-28T04:28:52,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:eeb9d3d3-7f2b-4151-b3da-88215a8c7f97,H200,,Chetana
220,201,2026-03-28T09:42:28.925+05:30,2026-03-28T09:47:19.943+05:30,,,yes__i_feel_safe_to_conduct_audit,A38,rhs,"13.042396, 77.5663816",13.042396,77.5663816,,,,no,1774671241113.jpg,,No,,,,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1774671314480.jpg,,,Yes,Household (mostly),Houses disposing waste,1774671357023.jpg,,Yes,Household (mostly),Household waste,1774671417442.jpg,,yes,,,,Not Applicable,,,,,,,,OK,709243256,320b27b4-73d8-40a2-9c21-420a9eca0e5e,2026-03-28T04:17:41,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:320b27b4-73d8-40a2-9c21-420a9eca0e5e,H200,,Chetana
221,200,2026-03-28T07:41:23.395+05:30,2026-03-28T07:44:44.903+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9311836, 77.5944801",12.9311836,77.5944801,,,,no,1774663944523.jpg,,Yes,1774663961228.jpg,,,Flowing,Black or grey water,Black,Cloudy,Strong smell of sewage (unable to stand near the SWD),1774664003521.jpg,,,Yes,Household (mostly),Plastic,1774664025787.jpg,,Yes,Household (mostly),Homes ,1774664057283.jpg,,no,,,,Not Applicable,,,,,,1774664080187.jpg,,OK,709230961,b2d403a3-1852-42d7-83dd-5149d8ae7fcd,2026-03-28T03:33:39,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:b2d403a3-1852-42d7-83dd-5149d8ae7fcd,,K207,Ashwin
222,199,2026-03-28T07:35:06.278+05:30,2026-03-28T07:38:51.047+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9313207, 77.5934351",12.9313207,77.5934351,,,,yes,1774663560253.jpg,,Yes,1774663583128.jpg,,,Flowing,Black or grey water,Black,Cloudy,Less odour (I am able to stand near the SWD),1774663637382.jpg,,,Yes,Household (mostly),Plastic bottles ,1774663668041.jpg,,Yes,Household (mostly),Homes and mixed,1774663710918.jpg,,no,,,,Not Applicable,,,,,,1774663725026.jpg,,OK,709230942,88bb0860-0769-4e0d-b293-93d71d7ca1d2,2026-03-28T03:33:32,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:88bb0860-0769-4e0d-b293-93d71d7ca1d2,,K207,Ashwin
223,198,2026-03-28T07:27:44.436+05:30,2026-03-28T07:32:38.751+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.931431, 77.5926981",12.931431,77.5926981,,,,yes,1774663134543.jpg,,Yes,1774663151970.jpg,,,Flowing,Black or grey water,Black,Cloudy,Strong smell of sewage (unable to stand near the SWD),1774663229459.jpg,,,Yes,Household (mostly),Homes and people dumping from road,1774663276013.jpg,,Yes,Mixed,Mixed,1774663311566.jpg,,no,,,,Not Applicable,,,,,,1774663352543.jpg,,OK,709230921,03ebfb5d-b6e8-4d19-8c38-124215c5a3e4,2026-03-28T03:33:25,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:03ebfb5d-b6e8-4d19-8c38-124215c5a3e4,,K207,Ashwin
224,197,2026-03-28T07:18:12.269+05:30,2026-03-28T07:23:31.258+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,lhs,"12.9313709, 77.5921509",12.9313709,77.5921509,,,,no,,,Yes,1774662630640.jpg,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1774662683912.jpg,,,Yes,Household (mostly),Plastic waste from home,1774662729376.jpg,,Yes,Construction Debris,Construction and other sources ,1774662761402.jpg,,no,,,,Not Applicable,,,,,,1774662774015.jpg,,OK,709230901,bc2126dd-2361-4742-9fd4-debf1e55a4de,2026-03-28T03:33:17,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:bc2126dd-2361-4742-9fd4-debf1e55a4de,,K208,Ashwin
225,196,2026-03-28T06:59:13.278+05:30,2026-03-28T07:08:00.961+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,lhs,"12.929736, 77.5916712",12.929736,77.5916712,,,,no,1774661485355.jpg,,Yes,1774661638484.jpg,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1774661704492.jpg,,,Yes,Household (mostly),Not sure looks plastic ,1774661734258.jpg,,Yes,Mixed,Branches construction ,1774661796571.jpg,,no,,,,Not Applicable,,,,,,1774661818565.jpg,,OK,709230880,b469a828-2b97-4ecf-a4f8-229cbde08d12,2026-03-28T03:33:09,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:b469a828-2b97-4ecf-a4f8-229cbde08d12,,K208,Ashwin
226,null,2026-04-05T19:16:53.884+05:30,2026-04-05T19:23:27.427+05:30,,,yes__i_feel_safe_to_conduct_audit,A15,rhs,12.9858437 77.6091815 829.2000122070312 4.525,12.9858437,77.6091815,,,,Cannot see,1775396859854.jpg,,No,1775396878396.jpg,,No,Stagnant,Froth Or Foam Visible,Black,Cannot see,Strong smell of sewage (unable to stand near the SWD),1775396943584.jpg,,,Yes,Mixed,From nearby residence and walking civilians ,1775396995814.jpg,,No,No waste,No waste ,1775397026315.jpg,,no,,,,Murals,,,,,,1775397201131.jpg,,OK,716206287,e4e7093a-9010-4106-aa28-703abcbf1355,2026-04-05T13:53:43,,,submitted_via_web,,v7SmaFMH8rU4KU2dEZkh2P,,uuid:e4e7093a-9010-4106-aa28-703abcbf1355,,,
227,null,2026-04-04T09:18:19.867+05:30,2026-04-04T09:21:23.045+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9311553, 77.5946699",12.9311553,77.5946699,,,,yes,1775274552829.jpg,,Yes,1775274583766.jpg,,,Flowing,Black or grey water,Black,Cloudy,Strong smell of sewage (unable to stand near the SWD),1775274615264.jpg,,,Yes,Household (mostly),Houses,1775274640875.jpg,,Yes,Household (mostly),Houses ,1775274670645.jpg,,no,,,,Not Applicable,,,,,,,,OK,715286634,aa73334d-6d26-463f-a6ff-4b6ecb4afa5c,2026-04-04T03:54:26,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:aa73334d-6d26-463f-a6ff-4b6ecb4afa5c,,,
228,null,2026-04-04T09:04:22.214+05:30,2026-04-04T09:09:36.727+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9312552, 77.5933674",12.9312552,77.5933674,,,,yes,1775273785027.jpg,,Yes,1775273808394.jpg,,Lot of waste falling into the drain,Flowing,Black or grey water,Black,Cloudy,Strong smell of sewage (unable to stand near the SWD),1775273885886.jpg,,,Yes,Household (mostly),"Houses, shops",1775273935500.jpg,,Yes,Household (mostly),"Houses, shops",1775273961925.jpg,,no,,,,Not Applicable,,,,,,,,OK,715286556,4ad26d82-a066-4b5f-b0bf-3e6ac01c962e,2026-04-04T03:54:11,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:4ad26d82-a066-4b5f-b0bf-3e6ac01c962e,,,
229,null,2026-04-04T08:45:06.538+05:30,2026-04-04T08:52:05.925+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9314433, 77.5925752",12.9314433,77.5925752,,,,yes,1775272624186.jpg,,Yes,1775272676073.jpg,,,Flowing,Black or grey water,Black,Opaque,Strong smell of sewage (unable to stand near the SWD),1775272742768.jpg,,,Yes,Household (mostly),"Houses, shops",1775272818155.jpg,,Yes,Household (mostly),Household ,1775272907229.jpg,,no,,,,Not Applicable,,,,,,,,OK,715286490,72e30b7d-c8e5-448a-a945-680fc6396b09,2026-04-04T03:53:56,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:72e30b7d-c8e5-448a-a945-680fc6396b09,,,
230,null,2026-04-04T08:18:56.167+05:30,2026-04-04T08:27:38.723+05:30,,,yes__i_feel_safe_to_conduct_audit,A36,rhs,"12.9296867, 77.5917211",12.9296867,77.5917211,,,,yes,1775271065027.jpg,,Yes,1775271196146.jpg,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1775271226611.jpg,,,Yes,Household (mostly),Houses and branches and leaves ,1775271350862.jpg,,Yes,Household (mostly),"Houses, construction debris, trees and branches ",1775271439779.jpg,,no,,,,Not Applicable,,,,,,,,OK,715286460,d7ffd497-403a-4517-b8bb-0850ed9e67b1,2026-04-04T03:53:44,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:d7ffd497-403a-4517-b8bb-0850ed9e67b1,,,
231,231,2026-04-19T10:18:23.862+05:30,2026-04-19T10:22:29.077+05:30,,,yes__i_feel_safe_to_conduct_audit,A35,lhs,"13.0245883, 77.6452383",13.0245883,77.6452383,,,,yes,1776574192071.jpg,,Yes,1776574207854.jpg,,The retaining wall is broken in between as it is the access road to the chellekere lake STP,Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1776574285754.jpg,,,Yes,Mixed,,,,No,No waste,,,,yes,,,,Park,,,,,,1776574342128.jpg,,OK,729180518,ab06077d-72aa-4d32-8551-5f8b668a6178,2026-04-19T06:12:07,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:ab06077d-72aa-4d32-8551-5f8b668a6178,H400,,Adithya
232,230,2026-04-19T10:06:06.756+05:30,2026-04-19T10:08:50.826+05:30,,,yes__i_feel_safe_to_conduct_audit,A35,lhs,"13.0238769, 77.6452013",13.0238769,77.6452013,,,,yes,1776573394760.jpg,,No,1776573435246.jpg,,,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1776573491805.jpg,,,No,No waste,,,,Yes,Household (mostly),,1776573516907.jpg,,no,,,,Park,,,,,,,,OK,729180264,6f2f44f0-7fc0-447c-ab79-e3e3ee681e68,2026-04-19T06:11:34,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:6f2f44f0-7fc0-447c-ab79-e3e3ee681e68,H400,,Adithya
233,234,2026-04-19T11:02:13.580+05:30,2026-04-19T11:05:57.124+05:30,,,yes__i_feel_safe_to_conduct_audit,A35,lhs,"13.027907, 77.6434017",13.027907,77.6434017,,,,no,1776576858439.jpg,,No,,,"Manhole in the drain, no bridges across",Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1776576897360.jpg,,,Yes,Construction Debris,Some kind of construction in the drain,1776576923874.jpg,,Yes,Household (mostly),Houses and establishments nearby dumping waste,1776576947847.jpg,,yes,,,,Park,,,,,,,,OK,729164523,0dc4ce63-85e3-4073-a797-26b9100d0ee0,2026-04-19T05:36:53,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:0dc4ce63-85e3-4073-a797-26b9100d0ee0,H400,,Adithya
234,233,2026-04-19T10:55:24.160+05:30,2026-04-19T10:59:23.454+05:30,,,yes__i_feel_safe_to_conduct_audit,A35,lhs,"13.0271057, 77.6438114",13.0271057,77.6438114,,,,no,,,No,,,"No inlets at all, from lake or road",Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1776576480865.jpg,,,Yes,Construction Debris,Demolition of retaining wall,1776576512218.jpg,,Yes,Construction Debris,"Unclear, likely drain works",1776576554232.jpg,,no,,,,Park,,,,,,,,OK,729160693,b659a3e5-6d18-42a7-bbae-679b8bf5eaa2,2026-04-19T05:29:44,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:b659a3e5-6d18-42a7-bbae-679b8bf5eaa2,H400,,Adithya
235,232,2026-04-19T10:36:28.384+05:30,2026-04-19T10:44:00.371+05:30,,,yes__i_feel_safe_to_conduct_audit,A35,lhs,"13.0257342, 77.6445963",13.0257342,77.6445963,,,,no,1776575290347.jpg,,No,,,"Service road(?) is being built along the drain, JCB sitting along the drain",Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1776575491350.jpg,,,Yes,Household (mostly),Household,1776575589387.jpg,,Yes,Construction Debris,Construction and household waste,1776575615336.jpg,,no,,,,Not Applicable,,,,,,,,OK,729153868,dee47ed4-6b8b-4c55-9cbe-70707e4c9831,2026-04-19T05:15:02,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:dee47ed4-6b8b-4c55-9cbe-70707e4c9831,H400,,Adithya
236,270,2026-04-27T11:20:54.599+05:30,2026-04-27T11:24:08.048+05:30,,,no__do_not_want_to_conduct_survey,A53,rhs,"12.9589639, 77.5439419",12.9589639,77.5439419,,,,no,,,Yes,1777269149145.jpg,,Too much garbage ,Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1777269181631.jpg,,,Yes,Mixed,Houses and industrial ,1777269209783.jpg,,Yes,Mixed,Shops around,1777269226339.jpg,,no,,,,Murals,,,,,,1777269239694.jpg,,OK,736546138,4589db30-9c2f-421e-adc7-1420ad4afbbf,2026-04-27T09:42:01,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:4589db30-9c2f-421e-adc7-1420ad4afbbf,V100,,BMSCA
237,269,2026-04-27T11:05:16.273+05:30,2026-04-27T11:08:08.461+05:30,,,yes__i_feel_safe_to_conduct_audit,A53,rhs,"12.9562852, 77.5420693",12.9562852,77.5420693,,,,Cannot see,1777268171471.jpg,,Cannot see,1777268191784.jpg,,Nil,Cannot see,Cannot See,Cannot see,Cannot see,Less odour (I am able to stand near the SWD),1777268226430.jpg,,,Cannot See,Cannot See,Cannot see,1777268248592.jpg,,No,No waste,Cannot see,1777268265643.jpg,,not_applicable,,,,Not Applicable,,,,,,1777268279679.jpg,,OK,736546036,aa6a39ab-7430-4b11-b19a-2c2b0943daa7,2026-04-27T09:41:55,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:aa6a39ab-7430-4b11-b19a-2c2b0943daa7,V100,,BMSCA
238,268,2026-04-27T10:40:48.785+05:30,2026-04-27T10:45:53.068+05:30,,,yes__i_feel_safe_to_conduct_audit,A53,rhs,"12.9532027, 77.5413481",12.9532027,77.5413481,,,,yes,1777266791145.jpg,,No,1777266804124.jpg,,Stall are placed outside,Flowing,Solid Particles Or Oily Film On Water,Black,Opaque,Less odour (I am able to stand near the SWD),1777266877909.jpg,,,Yes,Mixed,Industrial and Houses along the drain,1777266902402.jpg,,No,No waste,Nil,1777266927594.jpg,,yes,,,,Not Applicable,,,,,,1777266946255.jpg,,,736545922,354b1a43-68b9-4500-bf17-d0d1b7b719c1,2026-04-27T09:41:47,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:354b1a43-68b9-4500-bf17-d0d1b7b719c1,V100,,BMSCA
239,267,2026-04-27T10:19:46.043+05:30,2026-04-27T10:25:16.368+05:30,,,yes__i_feel_safe_to_conduct_audit,A53,rhs,"12.9520524, 77.5431105",12.9520524,77.5431105,,,,Cannot see,1777265569630.jpg,,Cannot see,1777265583471.jpg,,Access issues due bus depot security ,Cannot see,Cannot See,Cannot see,Cannot see,Less odour (I am able to stand near the SWD),1777265633286.jpg,,,Cannot See,Cannot See,Cannot see,1777265662439.jpg,,No,No waste,Cannot see,1777265698736.jpg,,not_applicable,,,,Not Applicable,,,,,,1777265712608.jpg,,OK,736545889,b0ad10ee-31ba-4588-84a3-816369ffde48,2026-04-27T09:41:44,no,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:b0ad10ee-31ba-4588-84a3-816369ffde48,,V120,BMSCA
240,266,2026-04-27T09:58:13.197+05:30,2026-04-27T10:02:39.055+05:30,,,yes__i_feel_safe_to_conduct_audit,A53,rhs,"12.9517929, 77.546229",12.9517929,77.546229,,,,yes,1777264157643.jpg,,No,1777264231271.jpg,,Garbage along the drain ,Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1777264281719.jpg,,,Yes,Household (mostly),Households around the drain,1777264312246.jpg,,Yes,Household (mostly),Houses and shops sround,1777264332246.jpg,,no,,,,Not Applicable,,,,,,1777264345607.jpg,,,736545777,97c7d401-c7f0-468f-9b4f-312b57c44356,2026-04-27T09:41:37,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:97c7d401-c7f0-468f-9b4f-312b57c44356,,V120,BMSCA
241,265,2026-04-27T09:40:48.276+05:30,2026-04-27T09:46:22.559+05:30,,,yes__i_feel_safe_to_conduct_audit,A53,rhs,"12.9513237, 77.5488397",12.9513237,77.5488397,,,,no,1777263231329.jpg,,Yes,1777263241164.jpg,,People throwing garbage directly from the Houses ,Flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1777263301686.jpg,,,Yes,Household (mostly),Houses around the bridge SWD,1777263334727.jpg,,No,No waste,Nil,1777263355480.jpg,,no,,,,Not Applicable,,,,,,1777263370248.jpg,,OK,736545633,ed026c13-35a5-413f-af93-cb2acd91c292,2026-04-27T09:41:28,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:ed026c13-35a5-413f-af93-cb2acd91c292,,V120,BMSCA
242,278,2026-04-27T11:30:16.293+05:30,2026-04-27T11:33:50.673+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.9563669, 77.5426863",12.9563669,77.5426863,,,,no,,,Yes,1777269694981.jpg,,,Flowing,Black or grey water,Greenish,Opaque,Strong smell of sewage (unable to stand near the SWD),1777269757680.jpg,,,Yes,Household (mostly),Houses nearby,1777269783890.jpg,,Yes,Household (mostly),Houses nearby,1777269817200.jpg,,no,,,,Not Applicable,,,,,,,,OK,736345002,ffe63a0d-ba5b-42d7-85a1-d5ea57fb4c90,2026-04-27T06:08:30,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:ffe63a0d-ba5b-42d7-85a1-d5ea57fb4c90,V100,,BMSCA
243,277,2026-04-27T10:41:28.274+05:30,2026-04-27T10:48:03.499+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.9530061, 77.5419597",12.9530061,77.5419597,,,,no,,,No,,,Manhole in swd,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1777266909393.jpg,,,Yes,Mixed,,1777266975805.jpg,,Yes,Construction Debris,Construction site nearby,1777267064117.jpg,,not_applicable,,,,Not Applicable,,,,,,,,OK,736344971,80888b35-a8d5-4c35-8da9-ca389e83abb1,2026-04-27T06:08:26,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:80888b35-a8d5-4c35-8da9-ca389e83abb1,,V120,BMSCA
244,276,2026-04-27T10:23:20.875+05:30,2026-04-27T10:28:08.289+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.95192, 77.543565",12.95192,77.543565,,,,no,,,Yes,1777265774588.jpg,,,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1777265774588.jpg,,,Yes,Mixed,"Bus stand near by, waste thrown by passengers ",1777265837528.jpg,,No,No waste,,,,yes,,,,Not Applicable,,,,,,,,OK,736344932,1fa8302d-a290-4b3b-b127-5dcd3bd7ec0f,2026-04-27T06:08:21,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:1fa8302d-a290-4b3b-b127-5dcd3bd7ec0f,,V120,BMSCA
245,275,2026-04-27T09:56:06.397+05:30,2026-04-27T10:11:45.016+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.951395, 77.5446533",12.951395,77.5446533,,,,no,,,Yes,1777264596062.jpg,,Multiple Unauthorized inlets from houses along the drain,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1777264698450.jpg,,,Yes,Mixed,Houses along drain. Mostly houshold waste,1777264789035.jpg,,Yes,Construction Debris,Construction debris From under construction houses,1777264857623.jpg,,no,,,,Not Applicable,,,,,,,,OK,736344847,4a5291ad-4bf1-43fe-8795-042a3082a0f6,2026-04-27T06:08:12,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:4a5291ad-4bf1-43fe-8795-042a3082a0f6,,V120,BMSCA
246,274,2026-04-27T09:43:03.731+05:30,2026-04-27T09:50:10.544+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.951709, 77.5471365",12.951709,77.5471365,,,,no,,,Yes,1777263391867.jpg,,Plant growth in swd,Flowing,Black or grey water,Black,Opaque,Less odour (I am able to stand near the SWD),1777263462198.jpg,,,Yes,Household (mostly),From houses nearby,1777263510949.jpg,,Yes,Household (mostly),Houses nearby,1777263549521.jpg,,no,,,,Not Applicable,,,,,,1777263603497.jpg,,OK,736344771,d53264db-199a-4188-996b-aa4085813242,2026-04-27T06:08:02,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:d53264db-199a-4188-996b-aa4085813242,,V120,BMSCA
247,273,2026-04-27T09:22:52.007+05:30,2026-04-27T09:29:31.468+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.9522453, 77.550605",12.9522453,77.550605,,,,yes,1777262120103.jpg,,Yes,1777262146414.jpg,,Dump yard on either side of the drain,Flowing,Black or grey water,Black,Opaque,Strong Smell  Not Necessarily Sewage,1777262234874.jpg,,,Yes,Mixed,Garbage trucks and dump yard,1777262287645.jpg,,Yes,Mixed,dump yard,1777262341050.jpg,,no,,,,Not Applicable,,,,,,,,OK,736344688,6d26d810-0546-4e3f-96b7-6564386c8d96,2026-04-27T06:07:53,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:6d26d810-0546-4e3f-96b7-6564386c8d96,,V120,BMSCA
248,272,2026-04-27T08:28:51.327+05:30,2026-04-27T09:12:12.934+05:30,,,yes__i_feel_safe_to_conduct_audit,A52,rhs,"12.951441, 77.5528704",12.951441,77.5528704,,,,Cannot see,,,Yes,1777260854979.jpg,,Temple located along the retaining wall. Cannot see the drain as retaining wall is high(8ft) ,Flowing,Cannot See,Cannot see,Cannot see,Less odour (I am able to stand near the SWD),,,,Cannot See,Cannot See,,,,Yes,Mixed,Waste from Temple and houshold waste,1777261277900.jpg,,yes,,,,Murals Idols,,,,,,1777261313703.jpg,,OK,736344563,ca01894b-6d29-4ae0-ab70-87459580ef17,2026-04-27T06:07:41,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:ca01894b-6d29-4ae0-ab70-87459580ef17,,V120,BMSCA
249,271,2026-04-27T10:35:24.782+05:30,2026-04-27T10:38:46.470+05:30,,,yes__i_feel_safe_to_conduct_audit,A55,lhs,"12.9573016, 77.5436803",12.9573016,77.5436803,,,,yes,1777266411394.jpg,,Cannot see,,,,Flowing,Black or grey water,Greenish,Opaque,Less odour (I am able to stand near the SWD),1777266461387.jpg,,,Yes,Household (mostly),"Nearby people
",1777266488761.jpg,,Yes,Household (mostly),"People around 
",1777266508356.jpg,,no,,,,Not Applicable,,,,,,,,OK,736339649,0232661d-8b36-4d7c-9cd6-66b5885cc3d0,2026-04-27T06:01:26,yes,,submitted_via_web,,vMxKncGqbDpQLxALf9T9wr,,uuid:0232661d-8b36-4d7c-9cd6-66b5885cc3d0,V100,,BMSCA
